sample	stage	sequencing_round	parents	f1	cross_type	species	location	m_unique	p_unique	mean_caudal_lightness	mean_jaw_length	mean_nose_length	mean_nose_height	lake
CPE5	8dpf	2	crescent_pond_scale_eater	CRPP	p	p	ss	a	b	140.4656	0.395164366	-0.347504423	-0.640549619	Crescent Pond
CPPE1	8_10dpf	1	crescent_pond_scale_eater	CRPP	p	p	ss	a	b	140.4656	0.395164366	-0.347504423	-0.640549619	Crescent Pond
CPPE2	8_10dpf	1	crescent_pond_scale_eater	CRPP	p	p	ss	a	b	140.4656	0.395164366	-0.347504423	-0.640549619	Crescent Pond
CPPE3	8_10dpf	1	crescent_pond_scale_eater	CRPP	p	p	ss	a	b	140.4656	0.395164366	-0.347504423	-0.640549619	Crescent Pond
CPPJ1	17_20dpf	1	crescent_pond_scale_eater	CRPP	p	p	ss	a	b	140.4656	0.395164366	-0.347504423	-0.640549619	Crescent Pond
CPPJ2	17_20dpf	1	crescent_pond_scale_eater	CRPP	p	p	ss	a	b	140.4656	0.395164366	-0.347504423	-0.640549619	Crescent Pond
CPT1	48hpf	2	crescent_pond_scale_eater	CRPP	p	p	ss	a	b	140.4656	0.395164366	-0.347504423	-0.640549619	Crescent Pond
CPT2	48hpf	2	crescent_pond_scale_eater	CRPP	p	p	ss	a	b	140.4656	0.395164366	-0.347504423	-0.640549619	Crescent Pond
CPT3	48hpf	3	crescent_pond_scale_eater	CRPP	p	p	ss	a	b	140.4656	0.395164366	-0.347504423	-0.640549619	Crescent Pond
LPE1	8dpf	2	little_lake_scale_eater	LILP	p	p	ss	a	b	92.409	0.346467807	-0.246829425	-0.485125958	Little Lake
LPE2	8dpf	2	little_lake_scale_eater	LILP	p	p	ss	a	b	92.409	0.346467807	-0.246829425	-0.485125958	Little Lake
LPE3	8dpf	2	little_lake_scale_eater	LILP	p	p	ss	a	b	92.409	0.346467807	-0.246829425	-0.485125958	Little Lake
LPE4	8dpf	2	little_lake_scale_eater	LILP	p	p	ss	a	b	92.409	0.346467807	-0.246829425	-0.485125958	Little Lake
LPE5	8dpf	2	little_lake_scale_eater	LILP	p	p	ss	a	b	92.409	0.346467807	-0.246829425	-0.485125958	Little Lake
OPE1	8dpf	2	osprey_scale_eater	OSPP	p	p	ss	a	b	137.1298333	0.363150107	-0.260309607	-0.678491838	Osprey Lake
OPE2	8dpf	2	osprey_scale_eater	OSPP	p	p	ss	a	b	137.1298333	0.363150107	-0.260309607	-0.678491838	Osprey Lake
OPE3	8dpf	2	osprey_scale_eater	OSPP	p	p	ss	a	b	137.1298333	0.363150107	-0.260309607	-0.678491838	Osprey Lake
OPE4	8dpf	2	osprey_scale_eater	OSPP	p	p	ss	a	b	137.1298333	0.363150107	-0.260309607	-0.678491838	Osprey Lake
